parameter,component,role,stq2,stq1,stq3,observations,delta_vs_official,ci95_low,ci95_high,favourable_launches
1152,frombytes,gt,441.56805555555553,435.46319444444447,449.89444444444445,5760,4.250694444444434,3.45763888888888,5.163888888888891,0/15
1152,frombytes,official,437.3173611111111,431.14375,445.25138888888887,5760,,,,
1152,frombytes,opt,445.5083333333333,439.0965277777778,453.7965277777778,5760,8.190972222222229,7.410416666666663,9.007638888888891,0/15
1152,gt_forward,gt,1492.2805555555556,1479.9465277777779,1505.9145833333334,5760,,,,
1152,h4_exact_egress,gt,1993.611111111111,1981.1090277777778,2005.4166666666667,5760,,,,
1152,hash_f,gt,15662.945833333333,15599.054166666667,15738.034722222223,5760,-73.0805555555562,-82.5895833333343,-60.963888888889414,15/15
1152,hash_f,official,15736.02638888889,15663.489583333334,15789.531944444445,5760,,,,
1152,hash_f,opt,15712.214583333332,15634.747222222222,15781.113194444444,5760,-23.81180555555693,-32.84513888888978,-14.58263888888905,15/15
1152,hash_g,gt,18001.175,17940.10347222222,18106.516666666666,5760,-141.52638888889123,-151.80902777777737,-128.51527777778028,15/15
1152,hash_g,official,18142.70138888889,18021.505555555555,18202.58402777778,5760,,,,
1152,hash_g,opt,18117.745833333334,18036.530555555557,18195.911111111112,5760,-24.955555555556202,-39.359027777776646,-11.152083333334303,11/15
1152,hash_h,gt,4969.458333333333,4930.3180555555555,5002.2763888888885,5760,-23.424305555556202,-27.868749999999636,-19.318055555555475,15/15
1152,hash_h,official,4992.882638888889,4964.448611111111,5021.245833333333,5760,,,,
1152,hash_h,opt,5002.496527777777,4970.447916666667,5032.1,5760,9.613888888888141,6.84305555555602,12.237500000000182,0/15
1152,inverse,gt,1409.7854166666666,1400.236111111111,1419.2388888888888,5760,-15.929861111111222,-16.888888888888914,-15.005555555555475,15/15
1152,inverse,official,1425.7152777777778,1415.425,1435.7208333333333,5760,,,,
1152,inverse,opt,1419.0875,1407.1159722222221,1431.3083333333334,5760,-6.627777777777737,-7.640277777777783,-5.524305555555429,15/15
1152,kem_dec,gt,30446.756944444445,30352.713888888888,30602.442361111112,5760,-156.92152777777665,-174.54861111111313,-133.99583333333067,15/15
1152,kem_dec,official,30603.678472222222,30508.602083333335,30689.047222222223,5760,,,,
1152,kem_dec,opt,30217.613194444446,30078.776388888888,30354.005555555555,5760,-386.0652777777759,-414.1576388888898,-357.28402777777956,15/15
1152,kem_enc,gt,43996.82152777778,43835.38263888889,44172.57361111111,5760,764.8173611111124,719.6770833333358,812.7416666666686,0/15
1152,kem_enc,official,43232.004166666666,43051.236805555556,43410.50277777778,5760,,,,
1152,kem_enc,opt,42967.254166666666,42778.256944444445,43127.28680555556,5760,-264.75,-314.37777777777956,-226.72986111111095,15/15
1152,kem_keypair,gt,34630.222916666666,31490.894444444446,40744.59305555555,5760,39.390277777776646,12.74027777777519,63.888888888890506,3/15
1152,kem_keypair,official,34590.83263888889,31444.06527777778,40661.47361111111,5760,,,,
1152,kem_keypair,opt,34222.59861111111,31164.234027777777,40209.37777777778,5760,-368.23402777777665,-397.0409722222248,-337.5895833333343,15/15
1152,serializer_v2,gt,701.9777777777778,691.8256944444445,712.4888888888889,5760,,,,
1152,serializer_v2_hash_g,gt,18336.995138888888,18249.000694444443,18526.302083333332,5760,,,,
1152,shake256_coins,gt,3764.7479166666667,3742.7604166666665,3788.225,5760,-6.829166666666424,-8.379861111111495,-5.074305555555384,14/15
1152,shake256_coins,official,3771.577083333333,3750.9659722222223,3792.754861111111,5760,,,,
1152,shake256_coins,opt,3776.4534722222224,3756.1590277777777,3798.0180555555557,5760,4.876388888889323,2.54166666666697,6.931249999999636,2/15
1152,sotp_decode,gt,499.41319444444446,492.1534722222222,507.1097222222222,5760,3.4340277777777715,2.4791666666666856,4.4375,0/15
1152,sotp_decode,official,495.9791666666667,487.6979166666667,505.30069444444445,5760,,,,
1152,sotp_decode,opt,493.9201388888889,486.8902777777778,502.10555555555555,5760,-2.0590277777777715,-2.7375000000000114,-1.4875000000000114,15/15
1152,sotp_encode,gt,419.72222222222223,410.1409722222222,430.0736111111111,5760,-2.43541666666664,-3.6729166666666515,-0.966666666666697,12/15
1152,sotp_encode,official,422.15763888888887,412.7875,430.99583333333334,5760,,,,
1152,sotp_encode,opt,424.0284722222222,414.48055555555555,432.74444444444447,5760,1.8708333333333371,0.7104166666666742,3.0208333333333712,2/15
1152,sub,gt,354.5388888888889,339.37291666666664,367.6486111111111,5760,1.6097222222222172,0.9951388888889028,2.28125,2/15
1152,sub,official,352.9291666666667,337.56111111111113,366.2888888888889,5760,,,,
1152,sub,opt,358.28125,342.5263888888889,372.28819444444446,5760,5.352083333333326,4.679166666666674,6.08472222222224,0/15
1152,tobytes,gt,543.1444444444444,537.9798611111111,550.8284722222222,5760,2.019444444444389,1.345833333333303,2.824999999999932,0/15
1152,tobytes,official,541.125,536.0055555555556,549.8104166666667,5760,,,,
1152,tobytes,opt,519.0368055555556,513.5805555555555,526.6701388888889,5760,-22.08819444444441,-22.537500000000023,-21.564583333333303,15/15
1152,triple,gt,285.62291666666664,279.33958333333334,291.3923611111111,5760,-2.609722222222274,-3.69861111111112,-1.6243055555555657,13/15
1152,triple,official,288.2326388888889,281.5111111111111,294.8875,5760,,,,
1152,triple,opt,284.36041666666665,278.4736111111111,289.9090277777778,5760,-3.8722222222222626,-4.691666666666663,-3.0409722222221944,15/15
