experiments/gt864-p22-main-i16-ssa/candidate.sym.S:481: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:483: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:485: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:487: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:489: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:491: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:493: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:509: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:511: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:513: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:515: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:517: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:519: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:521: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:523: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:541: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:543: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:545: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:547: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:549: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
