family,cut,block,observation,cycles
cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 206 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1075 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
1,9,0,1,28328
1,9,0,2,28390
1,9,0,3,28327
1,9,0,4,28432
1,9,0,5,28434
1,9,0,6,29039
1,9,0,7,28046
1,9,0,8,27993
1,9,0,9,28283
1,9,0,10,28115
1,9,0,11,28110
1,9,0,12,28327
1,9,0,13,28114
1,9,0,14,28261
1,9,0,15,28099
1,9,0,16,27867
1,9,0,17,28112
1,9,0,18,27872
1,9,0,19,28000
1,9,0,20,28282
1,9,0,21,27988
1,9,0,22,28093
1,9,0,23,28150
1,9,0,24,28201
1,9,0,25,28022
1,9,0,26,28086
1,9,0,27,27971
1,9,0,28,28094
1,9,0,29,27935
1,9,0,30,28175
1,9,0,31,28312
2,0,0,0,755
2,0,0,1,673
2,0,0,2,669
2,0,0,3,647
2,0,0,4,656
2,0,0,5,661
2,0,0,6,649
2,0,0,7,668
2,0,0,8,656
2,0,0,9,665
2,0,0,10,683
2,0,0,11,697
2,0,0,12,673
2,0,0,13,702
2,0,0,14,660
2,0,0,15,672
2,0,0,16,691
2,0,0,17,670
2,0,0,18,670
2,0,0,19,651
2,0,0,20,667
2,0,0,21,657
2,0,0,22,653
2,0,0,23,671
2,0,0,24,668
2,0,0,25,654
2,0,0,26,681
2,0,0,27,683
2,0,0,28,677
2,0,0,29,677
2,0,0,30,673
2,0,0,31,653
2,1,0,0,1096
2,1,0,1,1086
2,1,0,2,1094
2,1,0,3,1101
2,1,0,4,1077
2,1,0,5,1088
2,1,0,6,1092
2,1,0,7,1122
2,1,0,8,1077
2,1,0,9,1102
2,1,0,10,1086
