region,block,slot,observation,bank,cycles
0,3,2,18,2,12348
0,3,2,19,3,12389
0,3,2,20,4,12468
0,3,2,21,5,12287
0,3,2,22,6,12504
0,3,2,23,7,12462
0,3,2,24,8,12304
0,3,2,25,9,12318
0,3,2,26,10,12348
0,3,2,27,11,12326
0,3,2,28,12,12371
0,3,2,29,13,12457
0,3,2,30,14,12764
0,3,2,31,15,12450
0,3,3,0,0,12299
0,3,3,1,1,12379
0,3,3,2,2,12303
0,3,3,3,3,12339
0,3,3,4,4,12340
0,3,3,5,5,12307
0,3,3,6,6,12296
0,3,3,7,7,12236
0,3,3,8,8,12315
0,3,3,9,9,12296
0,3,3,10,10,12315
0,3,3,11,11,12224
0,3,3,12,12,12329
0,3,3,13,13,12334
0,3,3,14,14,12239
0,3,3,15,15,12309
0,3,3,16,0,12373
0,3,3,17,1,12251
0,3,3,18,2,12347
0,3,3,19,3,12354
0,3,3,20,4,12291
0,3,3,21,5,12351
0,3,3,22,6,12329
0,3,3,23,7,12242
0,3,3,24,8,12321
0,3,3,25,9,12327
0,3,3,26,10,12332
0,3,3,27,11,12388
0,3,3,28,12,12313
0,3,3,29,13,12312
0,3,3,30,14,12848
0,3,3,31,15,12362
0,4,0,0,0,12507
0,4,0,1,1,12360
0,4,0,2,2,12306
0,4,0,3,3,12306
0,4,0,4,4,12998
0,4,0,5,5,12658
0,4,0,6,6,12355
0,4,0,7,7,12240
0,4,0,8,8,12341
0,4,0,9,9,12350
0,4,0,10,10,12377
0,4,0,11,11,12411
0,4,0,12,12,12353
0,4,0,13,13,12365
0,4,0,14,14,12415
0,4,0,15,15,12369
0,4,0,16,0,12391
0,4,0,17,1,12410
0,4,0,18,2,12418
0,4,0,19,3,12339
0,4,0,20,4,12346
0,4,0,21,5,12403
0,4,0,22,6,12511
0,4,0,23,7,12493
0,4,0,24,8,12361
0,4,0,25,9,12344
0,4,0,26,10,12321
0,4,0,27,11,12365
0,4,0,28,12,12419
0,4,0,29,13,12413
0,4,0,30,14,12370
0,4,0,31,15,12396
0,4,1,0,0,12287
0,4,1,1,1,12278
0,4,1,2,2,12250
0,4,1,3,3,12409
