stage1_order,branch,group,n3,n32,n32_lane,quartic_lane,source_chunk_role,source_chunk,source_block_k,source_branch_pos,source_after_top_split_pos,low_input_pos,high_input_pos,top_zeta_mont,top_zeta_normal,top_split_formula,twist_table,twist_index,twist_mont,twist_normal,operation,ld4_load_chunk_low,ld4_load_chunk_high,ld4_vector_lane,ld4_staging_expr,ld4_staging_coeff_offset,ld4_staging_byte_offset,dft3_ld4_load_row,dft3_ld4_output_register,ld3_staging_expr,ld3_staging_coeff_offset,ld3_staging_byte_offset,dft3_ld3_load_group,dft3_ld3_output_register,notes
240,0,2,1,20,4,0,B,6,52,208,208,208,592,-1033,2735,low_plus_zeta_high,twist_branch0,52,550,1713,top_split_then_twist_then_store_dft3_input,a[192..223],a[576..607],4,tmp_ld4[branch0][group2][n31][n32_lane4][q0],240,480,ld4_tmp_ld4_branch0_group2_n31,x1_q0_vlane4,tmp_ld3[branch0][q0][group2][n32_lane4][n31],61,122,ld3_tmp_ld3_branch0_q0_group2,x1_vlane4,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
241,0,2,1,20,4,1,B,6,52,209,209,209,593,-1033,2735,low_plus_zeta_high,twist_branch0,52,550,1713,top_split_then_twist_then_store_dft3_input,a[192..223],a[576..607],4,tmp_ld4[branch0][group2][n31][n32_lane4][q1],241,482,ld4_tmp_ld4_branch0_group2_n31,x1_q1_vlane4,tmp_ld3[branch0][q1][group2][n32_lane4][n31],157,314,ld3_tmp_ld3_branch0_q1_group2,x1_vlane4,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
242,0,2,1,20,4,2,B,6,52,210,210,210,594,-1033,2735,low_plus_zeta_high,twist_branch0,52,550,1713,top_split_then_twist_then_store_dft3_input,a[192..223],a[576..607],4,tmp_ld4[branch0][group2][n31][n32_lane4][q2],242,484,ld4_tmp_ld4_branch0_group2_n31,x1_q2_vlane4,tmp_ld3[branch0][q2][group2][n32_lane4][n31],253,506,ld3_tmp_ld3_branch0_q2_group2,x1_vlane4,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
243,0,2,1,20,4,3,B,6,52,211,211,211,595,-1033,2735,low_plus_zeta_high,twist_branch0,52,550,1713,top_split_then_twist_then_store_dft3_input,a[192..223],a[576..607],4,tmp_ld4[branch0][group2][n31][n32_lane4][q3],243,486,ld4_tmp_ld4_branch0_group2_n31,x1_q3_vlane4,tmp_ld3[branch0][q3][group2][n32_lane4][n31],349,698,ld3_tmp_ld3_branch0_q3_group2,x1_vlane4,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
244,0,2,1,21,5,0,C,10,85,340,340,340,724,-1033,2735,low_plus_zeta_high,twist_branch0,85,100,940,top_split_then_twist_then_store_dft3_input,a[320..351],a[704..735],5,tmp_ld4[branch0][group2][n31][n32_lane5][q0],244,488,ld4_tmp_ld4_branch0_group2_n31,x1_q0_vlane5,tmp_ld3[branch0][q0][group2][n32_lane5][n31],64,128,ld3_tmp_ld3_branch0_q0_group2,x1_vlane5,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
245,0,2,1,21,5,1,C,10,85,341,341,341,725,-1033,2735,low_plus_zeta_high,twist_branch0,85,100,940,top_split_then_twist_then_store_dft3_input,a[320..351],a[704..735],5,tmp_ld4[branch0][group2][n31][n32_lane5][q1],245,490,ld4_tmp_ld4_branch0_group2_n31,x1_q1_vlane5,tmp_ld3[branch0][q1][group2][n32_lane5][n31],160,320,ld3_tmp_ld3_branch0_q1_group2,x1_vlane5,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
246,0,2,1,21,5,2,C,10,85,342,342,342,726,-1033,2735,low_plus_zeta_high,twist_branch0,85,100,940,top_split_then_twist_then_store_dft3_input,a[320..351],a[704..735],5,tmp_ld4[branch0][group2][n31][n32_lane5][q2],246,492,ld4_tmp_ld4_branch0_group2_n31,x1_q2_vlane5,tmp_ld3[branch0][q2][group2][n32_lane5][n31],256,512,ld3_tmp_ld3_branch0_q2_group2,x1_vlane5,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
247,0,2,1,21,5,3,C,10,85,343,343,343,727,-1033,2735,low_plus_zeta_high,twist_branch0,85,100,940,top_split_then_twist_then_store_dft3_input,a[320..351],a[704..735],5,tmp_ld4[branch0][group2][n31][n32_lane5][q3],247,494,ld4_tmp_ld4_branch0_group2_n31,x1_q3_vlane5,tmp_ld3[branch0][q3][group2][n32_lane5][n31],352,704,ld3_tmp_ld3_branch0_q3_group2,x1_vlane5,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
248,0,2,1,22,6,0,A,2,22,88,88,88,472,-1033,2735,low_plus_zeta_high,twist_branch0,22,-54,2258,top_split_then_twist_then_store_dft3_input,a[64..95],a[448..479],6,tmp_ld4[branch0][group2][n31][n32_lane6][q0],248,496,ld4_tmp_ld4_branch0_group2_n31,x1_q0_vlane6,tmp_ld3[branch0][q0][group2][n32_lane6][n31],67,134,ld3_tmp_ld3_branch0_q0_group2,x1_vlane6,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
249,0,2,1,22,6,1,A,2,22,89,89,89,473,-1033,2735,low_plus_zeta_high,twist_branch0,22,-54,2258,top_split_then_twist_then_store_dft3_input,a[64..95],a[448..479],6,tmp_ld4[branch0][group2][n31][n32_lane6][q1],249,498,ld4_tmp_ld4_branch0_group2_n31,x1_q1_vlane6,tmp_ld3[branch0][q1][group2][n32_lane6][n31],163,326,ld3_tmp_ld3_branch0_q1_group2,x1_vlane6,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
250,0,2,1,22,6,2,A,2,22,90,90,90,474,-1033,2735,low_plus_zeta_high,twist_branch0,22,-54,2258,top_split_then_twist_then_store_dft3_input,a[64..95],a[448..479],6,tmp_ld4[branch0][group2][n31][n32_lane6][q2],250,500,ld4_tmp_ld4_branch0_group2_n31,x1_q2_vlane6,tmp_ld3[branch0][q2][group2][n32_lane6][n31],259,518,ld3_tmp_ld3_branch0_q2_group2,x1_vlane6,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
251,0,2,1,22,6,3,A,2,22,91,91,91,475,-1033,2735,low_plus_zeta_high,twist_branch0,22,-54,2258,top_split_then_twist_then_store_dft3_input,a[64..95],a[448..479],6,tmp_ld4[branch0][group2][n31][n32_lane6][q3],251,502,ld4_tmp_ld4_branch0_group2_n31,x1_q3_vlane6,tmp_ld3[branch0][q3][group2][n32_lane6][n31],355,710,ld3_tmp_ld3_branch0_q3_group2,x1_vlane6,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
252,0,2,1,23,7,0,B,6,55,220,220,220,604,-1033,2735,low_plus_zeta_high,twist_branch0,55,933,3239,top_split_then_twist_then_store_dft3_input,a[192..223],a[576..607],7,tmp_ld4[branch0][group2][n31][n32_lane7][q0],252,504,ld4_tmp_ld4_branch0_group2_n31,x1_q0_vlane7,tmp_ld3[branch0][q0][group2][n32_lane7][n31],70,140,ld3_tmp_ld3_branch0_q0_group2,x1_vlane7,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
253,0,2,1,23,7,1,B,6,55,221,221,221,605,-1033,2735,low_plus_zeta_high,twist_branch0,55,933,3239,top_split_then_twist_then_store_dft3_input,a[192..223],a[576..607],7,tmp_ld4[branch0][group2][n31][n32_lane7][q1],253,506,ld4_tmp_ld4_branch0_group2_n31,x1_q1_vlane7,tmp_ld3[branch0][q1][group2][n32_lane7][n31],166,332,ld3_tmp_ld3_branch0_q1_group2,x1_vlane7,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
254,0,2,1,23,7,2,B,6,55,222,222,222,606,-1033,2735,low_plus_zeta_high,twist_branch0,55,933,3239,top_split_then_twist_then_store_dft3_input,a[192..223],a[576..607],7,tmp_ld4[branch0][group2][n31][n32_lane7][q2],254,508,ld4_tmp_ld4_branch0_group2_n31,x1_q2_vlane7,tmp_ld3[branch0][q2][group2][n32_lane7][n31],262,524,ld3_tmp_ld3_branch0_q2_group2,x1_vlane7,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
255,0,2,1,23,7,3,B,6,55,223,223,223,607,-1033,2735,low_plus_zeta_high,twist_branch0,55,933,3239,top_split_then_twist_then_store_dft3_input,a[192..223],a[576..607],7,tmp_ld4[branch0][group2][n31][n32_lane7][q3],255,510,ld4_tmp_ld4_branch0_group2_n31,x1_q3_vlane7,tmp_ld3[branch0][q3][group2][n32_lane7][n31],358,716,ld3_tmp_ld3_branch0_q3_group2,x1_vlane7,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
256,0,2,2,16,0,0,C,10,80,320,320,320,704,-1033,2735,low_plus_zeta_high,twist_branch0,80,-257,2424,top_split_then_twist_then_store_dft3_input,a[320..351],a[704..735],0,tmp_ld4[branch0][group2][n32][n32_lane0][q0],256,512,ld4_tmp_ld4_branch0_group2_n32,x2_q0_vlane0,tmp_ld3[branch0][q0][group2][n32_lane0][n32],50,100,ld3_tmp_ld3_branch0_q0_group2,x2_vlane0,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
257,0,2,2,16,0,1,C,10,80,321,321,321,705,-1033,2735,low_plus_zeta_high,twist_branch0,80,-257,2424,top_split_then_twist_then_store_dft3_input,a[320..351],a[704..735],0,tmp_ld4[branch0][group2][n32][n32_lane0][q1],257,514,ld4_tmp_ld4_branch0_group2_n32,x2_q1_vlane0,tmp_ld3[branch0][q1][group2][n32_lane0][n32],146,292,ld3_tmp_ld3_branch0_q1_group2,x2_vlane0,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
258,0,2,2,16,0,2,C,10,80,322,322,322,706,-1033,2735,low_plus_zeta_high,twist_branch0,80,-257,2424,top_split_then_twist_then_store_dft3_input,a[320..351],a[704..735],0,tmp_ld4[branch0][group2][n32][n32_lane0][q2],258,516,ld4_tmp_ld4_branch0_group2_n32,x2_q2_vlane0,tmp_ld3[branch0][q2][group2][n32_lane0][n32],242,484,ld3_tmp_ld3_branch0_q2_group2,x2_vlane0,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
259,0,2,2,16,0,3,C,10,80,323,323,323,707,-1033,2735,low_plus_zeta_high,twist_branch0,80,-257,2424,top_split_then_twist_then_store_dft3_input,a[320..351],a[704..735],0,tmp_ld4[branch0][group2][n32][n32_lane0][q3],259,518,ld4_tmp_ld4_branch0_group2_n32,x2_q3_vlane0,tmp_ld3[branch0][q3][group2][n32_lane0][n32],338,676,ld3_tmp_ld3_branch0_q3_group2,x2_vlane0,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
260,0,2,2,17,1,0,A,2,17,68,68,68,452,-1033,2735,low_plus_zeta_high,twist_branch0,17,-1728,3116,top_split_then_twist_then_store_dft3_input,a[64..95],a[448..479],1,tmp_ld4[branch0][group2][n32][n32_lane1][q0],260,520,ld4_tmp_ld4_branch0_group2_n32,x2_q0_vlane1,tmp_ld3[branch0][q0][group2][n32_lane1][n32],53,106,ld3_tmp_ld3_branch0_q0_group2,x2_vlane1,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
