phase,branch,quartic_lane,vector_group,register,register_lane,physical_pos,branch_pos,block_k,twist_index,input_n3,input_n32,dft_output_k3,ntt32_stage,ntt32_len,ntt32_work_index,ntt32_input_k32,ntt32_role,pair_lo_index,pair_hi_index,twiddle_power,twiddle_mont,twiddle_normal,source_pos_n3_0,source_pos_n3_1,source_pos_n3_2,source_twist_n3_0,source_twist_n3_1,source_twist_n3_2,notes
input_crt_pack,0,0,1,v5,6,184,184,46,46,1,14,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,1,v5,7,316,316,79,79,1,15,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,1,v6,0,32,32,8,8,2,8,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,1,v6,1,164,164,41,41,2,9,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,1,v6,2,296,296,74,74,2,10,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,1,v6,3,44,44,11,11,2,11,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,1,v6,4,176,176,44,44,2,12,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,1,v6,5,308,308,77,77,2,13,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,1,v6,6,56,56,14,14,2,14,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,1,v6,7,188,188,47,47,2,15,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
dft3_output_pack,0,0,1,v4,0,-1,-1,-1,-1,-1,8,0,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,288,160,32,72,40,8,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,1,v4,1,-1,-1,-1,-1,-1,9,0,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,36,292,164,9,73,41,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,1,v4,2,-1,-1,-1,-1,-1,10,0,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,168,40,296,42,10,74,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,1,v4,3,-1,-1,-1,-1,-1,11,0,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,300,172,44,75,43,11,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,1,v4,4,-1,-1,-1,-1,-1,12,0,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,48,304,176,12,76,44,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,1,v4,5,-1,-1,-1,-1,-1,13,0,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,180,52,308,45,13,77,linear_combination_of_three_input_crt_sources
