branch,quartic_lane,top_split_output_pos,top_split_branch_pos,top_split_pair_index,top_split_low_input_pos,top_split_high_input_pos,top_split_formula,source_block_k,source_n3,source_n32,source_vector_group,source_input_register,source_input_register_lane,twist_table,twist_index,twist_mont,twist_normal,dft3_column,dft3_output_k3,dft3_factor_exp,dft3_factor_mont,dft3_factor_normal,dft3_one_mul_role,source_pos_n3_0,source_pos_n3_1,source_pos_n3_2,source_twist_n3_0,source_twist_n3_1,source_twist_n3_2,ntt32_input_k32,ntt32_input_work_index,ntt32_input_register,ntt32_input_register_lane,ntt32_input_vector_group,ntt32_bitrev_output_index,ntt32_bitrev_output_register,ntt32_bitrev_output_lane,notes
0,0,20,20,20,20,404,low_plus_zeta_high,5,2,5,0,v6,5,twist_branch0,5,-1409,3349,5,1,2,1033,722,minus_x2_minus_omega3_times_d,276,148,20,69,37,5,5,5,v4,5,0,20,v6,4,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,20,20,20,20,404,low_plus_zeta_high,5,2,5,0,v6,5,twist_branch0,5,-1409,3349,5,2,1,-886,2734,plus_omega3_times_d,276,148,20,69,37,5,5,5,v4,5,0,20,v6,4,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,24,24,24,24,408,low_plus_zeta_high,6,0,6,0,v4,6,twist_branch0,6,1024,3403,6,0,0,-147,1,x0_plus_x1_plus_x2,24,280,152,6,70,38,6,6,v4,6,0,12,v5,4,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,24,24,24,24,408,low_plus_zeta_high,6,0,6,0,v4,6,twist_branch0,6,1024,3403,6,1,0,-147,1,x0,24,280,152,6,70,38,6,6,v4,6,0,12,v5,4,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,24,24,24,24,408,low_plus_zeta_high,6,0,6,0,v4,6,twist_branch0,6,1024,3403,6,2,0,-147,1,x0,24,280,152,6,70,38,6,6,v4,6,0,12,v5,4,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,280,280,280,280,664,low_plus_zeta_high,70,1,6,0,v5,6,twist_branch0,70,-436,50,6,0,0,-147,1,x0_plus_x1_plus_x2,24,280,152,6,70,38,6,6,v4,6,0,12,v5,4,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,280,280,280,280,664,low_plus_zeta_high,70,1,6,0,v5,6,twist_branch0,70,-436,50,6,1,1,-886,2734,plus_omega3_times_d,24,280,152,6,70,38,6,6,v4,6,0,12,v5,4,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,280,280,280,280,664,low_plus_zeta_high,70,1,6,0,v5,6,twist_branch0,70,-436,50,6,2,2,1033,722,minus_x1_minus_omega3_times_d,24,280,152,6,70,38,6,6,v4,6,0,12,v5,4,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,152,152,152,152,536,low_plus_zeta_high,38,2,6,0,v6,6,twist_branch0,38,-1199,1866,6,0,0,-147,1,x0_plus_x1_plus_x2,24,280,152,6,70,38,6,6,v4,6,0,12,v5,4,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,152,152,152,152,536,low_plus_zeta_high,38,2,6,0,v6,6,twist_branch0,38,-1199,1866,6,1,2,1033,722,minus_x2_minus_omega3_times_d,24,280,152,6,70,38,6,6,v4,6,0,12,v5,4,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
