pair_i,low_input_pos,high_input_pos,top_zeta_mont,top_zeta_normal,asm_loop_iter,asm_lane,asm_low_load_register,asm_high_load_register,asm_temp_register,branch0_output_pos,branch0_output_register,branch0_formula,branch1_output_pos,branch1_output_register,branch1_formula,notes
44,44,428,-1033,2735,5,4,v4,v10,v16,44,v4,t=fqmul_zeta_top_a[428];r[44]=a[44]+t,428,v10,t=fqmul_zeta_top_a[428];r[428]=a[44]+a[428]-t,matches_original_ntt_s_level0_load_shape
45,45,429,-1033,2735,5,5,v4,v10,v16,45,v4,t=fqmul_zeta_top_a[429];r[45]=a[45]+t,429,v10,t=fqmul_zeta_top_a[429];r[429]=a[45]+a[429]-t,matches_original_ntt_s_level0_load_shape
46,46,430,-1033,2735,5,6,v4,v10,v16,46,v4,t=fqmul_zeta_top_a[430];r[46]=a[46]+t,430,v10,t=fqmul_zeta_top_a[430];r[430]=a[46]+a[430]-t,matches_original_ntt_s_level0_load_shape
47,47,431,-1033,2735,5,7,v4,v10,v16,47,v4,t=fqmul_zeta_top_a[431];r[47]=a[47]+t,431,v10,t=fqmul_zeta_top_a[431];r[431]=a[47]+a[431]-t,matches_original_ntt_s_level0_load_shape
48,48,432,-1033,2735,6,0,v4,v10,v16,48,v4,t=fqmul_zeta_top_a[432];r[48]=a[48]+t,432,v10,t=fqmul_zeta_top_a[432];r[432]=a[48]+a[432]-t,matches_original_ntt_s_level0_load_shape
49,49,433,-1033,2735,6,1,v4,v10,v16,49,v4,t=fqmul_zeta_top_a[433];r[49]=a[49]+t,433,v10,t=fqmul_zeta_top_a[433];r[433]=a[49]+a[433]-t,matches_original_ntt_s_level0_load_shape
50,50,434,-1033,2735,6,2,v4,v10,v16,50,v4,t=fqmul_zeta_top_a[434];r[50]=a[50]+t,434,v10,t=fqmul_zeta_top_a[434];r[434]=a[50]+a[434]-t,matches_original_ntt_s_level0_load_shape
51,51,435,-1033,2735,6,3,v4,v10,v16,51,v4,t=fqmul_zeta_top_a[435];r[51]=a[51]+t,435,v10,t=fqmul_zeta_top_a[435];r[435]=a[51]+a[435]-t,matches_original_ntt_s_level0_load_shape
52,52,436,-1033,2735,6,4,v4,v10,v16,52,v4,t=fqmul_zeta_top_a[436];r[52]=a[52]+t,436,v10,t=fqmul_zeta_top_a[436];r[436]=a[52]+a[436]-t,matches_original_ntt_s_level0_load_shape
53,53,437,-1033,2735,6,5,v4,v10,v16,53,v4,t=fqmul_zeta_top_a[437];r[53]=a[53]+t,437,v10,t=fqmul_zeta_top_a[437];r[437]=a[53]+a[437]-t,matches_original_ntt_s_level0_load_shape
