branch,base_F,block_k,position_start,position_end,lane_count,exponent,twist_table,twist_index,twist_mont,twist_normal,operation,expanded_positions,notes
1,22,43,556,559,4,-43,twist_branch1,43,124,1857,r[556..559]=r[556..559]*22^(-43),r[556]|r[557]|r[558]|r[559],same_twist_for_four_quartic_lanes
1,22,44,560,563,4,-44,twist_branch1,44,1577,3070,r[560..563]=r[560..563]*22^(-44),r[560]|r[561]|r[562]|r[563],same_twist_for_four_quartic_lanes
1,22,45,564,567,4,-45,twist_branch1,45,-714,2968,r[564..567]=r[564..567]*22^(-45),r[564]|r[565]|r[566]|r[567],same_twist_for_four_quartic_lanes
1,22,46,568,571,4,-46,twist_branch1,46,-661,1392,r[568..571]=r[568..571]*22^(-46),r[568]|r[569]|r[570]|r[571],same_twist_for_four_quartic_lanes
1,22,47,572,575,4,-47,twist_branch1,47,-1130,3206,r[572..575]=r[572..575]*22^(-47),r[572]|r[573]|r[574]|r[575],same_twist_for_four_quartic_lanes
1,22,48,576,579,4,-48,twist_branch1,48,1520,460,r[576..579]=r[576..579]*22^(-48),r[576]|r[577]|r[578]|r[579],same_twist_for_four_quartic_lanes
1,22,49,580,583,4,-49,twist_branch1,49,-1188,1278,r[580..583]=r[580..583]*22^(-49),r[580]|r[581]|r[582]|r[583],same_twist_for_four_quartic_lanes
1,22,50,584,587,4,-50,twist_branch1,50,-54,2258,r[584..587]=r[584..587]*22^(-50),r[584]|r[585]|r[586]|r[587],same_twist_for_four_quartic_lanes
1,22,51,588,591,4,-51,twist_branch1,51,-631,1674,r[588..591]=r[588..591]*22^(-51),r[588]|r[589]|r[590]|r[591],same_twist_for_four_quartic_lanes
1,22,52,592,595,4,-52,twist_branch1,52,757,2276,r[592..595]=r[592..595]*22^(-52),r[592]|r[593]|r[594]|r[595],same_twist_for_four_quartic_lanes
1,22,53,596,599,4,-53,twist_branch1,53,-437,732,r[596..599]=r[596..599]*22^(-53),r[596]|r[597]|r[598]|r[599],same_twist_for_four_quartic_lanes
1,22,54,600,603,4,-54,twist_branch1,54,-177,3176,r[600..603]=r[600..603]*22^(-54),r[600]|r[601]|r[602]|r[603],same_twist_for_four_quartic_lanes
1,22,55,604,607,4,-55,twist_branch1,55,-1108,2030,r[604..607]=r[604..607]*22^(-55),r[604]|r[605]|r[606]|r[607],same_twist_for_four_quartic_lanes
