branch,quartic_lane,n32,vector_group,register_lane,matrix_lane_stream,x0_offsets_8,x1_offsets_8,x2_offsets_8,x0_pos,x0_block,x0_twist_mont,x0_twist_normal,x1_pos,x1_block,x1_twist_mont,x1_twist_normal,x2_pos,x2_block,x2_twist_mont,x2_twist_normal,input_pack_registers,d_mont_constant,dft_y0_formula,dft_y1_formula,dft_y2_formula,y0_row_k3,y1_row_k3,y2_row_k3,notes
0,1,15,1,7,"Branch0 lane1: r[1,5,9,...,381]","r289 r37 r169 r301 r49 r181 r313 r61","r161 r293 r41 r173 r305 r53 r185 r317","r33 r165 r297 r45 r177 r309 r57 r189",61,15,2,2093,317,79,-514,1391,189,47,315,2961,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,16,2,0,"Branch0 lane1: r[1,5,9,...,381]","r193 r325 r73 r205 r337 r85 r217 r349","r65 r197 r329 r77 r209 r341 r89 r221","r321 r69 r201 r333 r81 r213 r345 r93",193,48,-1571,3209,65,16,1,2775,321,80,-257,2424,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,17,2,1,"Branch0 lane1: r[1,5,9,...,381]","r193 r325 r73 r205 r337 r85 r217 r349","r65 r197 r329 r77 r209 r341 r89 r221","r321 r69 r201 r333 r81 r213 r345 r93",325,81,1600,1212,197,49,943,3333,69,17,-1728,3116,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,18,2,2,"Branch0 lane1: r[1,5,9,...,381]","r193 r325 r73 r205 r337 r85 r217 r349","r65 r197 r329 r77 r209 r341 r89 r221","r321 r69 r201 r333 r81 r213 r345 r93",73,18,-864,1558,329,82,800,606,201,50,-1257,3395,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,19,2,3,"Branch0 lane1: r[1,5,9,...,381]","r193 r325 r73 r205 r337 r85 r217 r349","r65 r197 r329 r77 r209 r341 r89 r221","r321 r69 r201 r333 r81 r213 r345 r93",205,51,1100,3426,77,19,-432,779,333,83,400,303,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,20,2,4,"Branch0 lane1: r[1,5,9,...,381]","r193 r325 r73 r205 r337 r85 r217 r349","r65 r197 r329 r77 r209 r341 r89 r221","r321 r69 r201 r333 r81 r213 r345 r93",337,84,200,1880,209,52,550,1713,81,20,-216,2118,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,21,2,5,"Branch0 lane1: r[1,5,9,...,381]","r193 r325 r73 r205 r337 r85 r217 r349","r65 r197 r329 r77 r209 r341 r89 r221","r321 r69 r201 r333 r81 r213 r345 r93",85,21,-108,1059,341,85,100,940,213,53,275,2585,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,22,2,6,"Branch0 lane1: r[1,5,9,...,381]","r193 r325 r73 r205 r337 r85 r217 r349","r65 r197 r329 r77 r209 r341 r89 r221","r321 r69 r201 r333 r81 r213 r345 r93",217,54,-1591,3021,89,22,-54,2258,345,86,50,470,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,23,2,7,"Branch0 lane1: r[1,5,9,...,381]","r193 r325 r73 r205 r337 r85 r217 r349","r65 r197 r329 r77 r209 r341 r89 r221","r321 r69 r201 r333 r81 r213 r345 r93",349,87,25,235,221,55,933,3239,93,23,-27,1129,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,24,3,0,"Branch0 lane1: r[1,5,9,...,381]","r97 r229 r361 r109 r241 r373 r121 r253","r353 r101 r233 r365 r113 r245 r377 r125","r225 r357 r105 r237 r369 r117 r249 r381",97,24,1715,2293,353,88,-1716,1846,225,56,-1262,3348,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,25,3,1,"Branch0 lane1: r[1,5,9,...,381]","r97 r229 r361 r109 r241 r373 r121 r253","r353 r101 r233 r365 r113 r245 r377 r125","r225 r357 r105 r237 r369 r117 r249 r381",229,57,-631,1674,101,25,-871,2875,357,89,-858,923,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,26,3,2,"Branch0 lane1: r[1,5,9,...,381]","r97 r229 r361 r109 r241 r373 r121 r253","r353 r101 r233 r365 r113 r245 r377 r125","r225 r357 r105 r237 r369 r117 r249 r381",361,90,-429,2190,233,58,1413,837,105,26,1293,3166,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
