branch,k3,pair,pair_role,physical_j,paired_physical_j,position_start,position_end,k32_pre_len2,logical_k32_after_len2,logical_j_after_len2,lambda_table,lambda_mont,lambda_normal,asm_zeta_vector_index,asm_zeta_vector_lane,operation,notes
1,0,13,plus,78,81,696,699,26,11,33,gt_rowbitrev_lambda[1][78],-1728,3116,21,6,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,13,minus,81,78,708,711,27,27,81,gt_rowbitrev_lambda[1][81],1728,341,22,1,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,14,plus,84,87,720,723,28,7,21,gt_rowbitrev_lambda[1][84],-968,3346,22,4,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,14,minus,87,84,732,735,29,23,69,gt_rowbitrev_lambda[1][87],968,111,22,7,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,15,plus,90,93,744,747,30,15,45,gt_rowbitrev_lambda[1][90],858,2534,23,2,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,15,minus,93,90,756,759,31,31,93,gt_rowbitrev_lambda[1][93],-858,923,23,5,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,1,0,plus,32,35,512,515,0,0,32,gt_rowbitrev_lambda[1][32],274,3267,16,0,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,1,0,minus,35,32,524,527,1,16,80,gt_rowbitrev_lambda[1][35],-274,190,16,3,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,1,1,plus,38,41,536,539,2,8,56,gt_rowbitrev_lambda[1][38],-400,3154,16,6,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,1,1,minus,41,38,548,551,3,24,8,gt_rowbitrev_lambda[1][41],400,303,17,1,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
