branch,quartic_lane,dft_output_k3,input_k32,input_work_index,ntt32_register,ntt32_register_lane,ntt32_vector_group,bitrev_output_index,bitrev_output_register,bitrev_output_lane,source_pos_n3_0,source_pos_n3_1,source_pos_n3_2,source_block_n3_0,source_block_n3_1,source_block_n3_2,operation,notes
0,1,0,12,12,v5,4,1,6,v4,6,49,305,177,12,76,44,work[12]=dft3_row_0[12];complete_dif_out[bitreverse5(12)]=NTT32[6],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,1,0,13,13,v5,5,1,22,v6,6,181,53,309,45,13,77,work[13]=dft3_row_0[13];complete_dif_out[bitreverse5(13)]=NTT32[22],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,1,0,14,14,v5,6,1,14,v5,6,313,185,57,78,46,14,work[14]=dft3_row_0[14];complete_dif_out[bitreverse5(14)]=NTT32[14],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,1,0,15,15,v5,7,1,30,v7,6,61,317,189,15,79,47,work[15]=dft3_row_0[15];complete_dif_out[bitreverse5(15)]=NTT32[30],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,1,0,16,16,v6,0,2,1,v4,1,193,65,321,48,16,80,work[16]=dft3_row_0[16];complete_dif_out[bitreverse5(16)]=NTT32[1],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,1,0,17,17,v6,1,2,17,v6,1,325,197,69,81,49,17,work[17]=dft3_row_0[17];complete_dif_out[bitreverse5(17)]=NTT32[17],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,1,0,18,18,v6,2,2,9,v5,1,73,329,201,18,82,50,work[18]=dft3_row_0[18];complete_dif_out[bitreverse5(18)]=NTT32[9],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,1,0,19,19,v6,3,2,25,v7,1,205,77,333,51,19,83,work[19]=dft3_row_0[19];complete_dif_out[bitreverse5(19)]=NTT32[25],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,1,0,20,20,v6,4,2,5,v4,5,337,209,81,84,52,20,work[20]=dft3_row_0[20];complete_dif_out[bitreverse5(20)]=NTT32[5],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,1,0,21,21,v6,5,2,21,v6,5,85,341,213,21,85,53,work[21]=dft3_row_0[21];complete_dif_out[bitreverse5(21)]=NTT32[21],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,1,0,22,22,v6,6,2,13,v5,5,217,89,345,54,22,86,work[22]=dft3_row_0[22];complete_dif_out[bitreverse5(22)]=NTT32[13],natural_input_pack_for_complete_dif_ntt32_bitrev_output
