region,variant,block,slot,cycles
1,2,22,5,921
1,1,22,6,900
1,0,22,7,906
1,3,23,0,909
1,2,23,1,906
1,1,23,2,928
1,0,23,3,951
1,0,23,4,916
1,1,23,5,909
1,2,23,6,930
1,3,23,7,923
1,0,24,0,923
1,1,24,1,935
1,2,24,2,919
1,3,24,3,945
1,3,24,4,924
1,2,24,5,925
1,1,24,6,932
1,0,24,7,925
1,3,25,0,911
1,2,25,1,945
1,1,25,2,944
1,0,25,3,927
1,0,25,4,917
1,1,25,5,921
1,2,25,6,912
1,3,25,7,952
1,0,26,0,914
1,1,26,1,936
1,2,26,2,919
1,3,26,3,919
1,3,26,4,895
1,2,26,5,904
1,1,26,6,904
1,0,26,7,906
1,3,27,0,917
1,2,27,1,929
1,1,27,2,916
1,0,27,3,901
1,0,27,4,892
1,1,27,5,937
1,2,27,6,905
1,3,27,7,902
1,0,28,0,902
1,1,28,1,921
1,2,28,2,915
1,3,28,3,925
1,3,28,4,924
1,2,28,5,922
1,1,28,6,915
1,0,28,7,894
