region,block,slot,observation,bank,cycles
0,4,1,14,14,12214
0,4,1,15,15,12354
0,4,1,16,0,12358
0,4,1,17,1,12293
0,4,1,18,2,12288
0,4,1,19,3,12295
0,4,1,20,4,12268
0,4,1,21,5,12326
0,4,1,22,6,12297
0,4,1,23,7,12274
0,4,1,24,8,12266
0,4,1,25,9,12296
0,4,1,26,10,12258
0,4,1,27,11,12309
0,4,1,28,12,12246
0,4,1,29,13,12329
0,4,1,30,14,12294
0,4,1,31,15,12276
0,4,2,0,0,12302
0,4,2,1,1,12219
0,4,2,2,2,12375
0,4,2,3,3,12182
0,4,2,4,4,12322
0,4,2,5,5,12219
0,4,2,6,6,12355
0,4,2,7,7,12253
0,4,2,8,8,12298
0,4,2,9,9,12358
0,4,2,10,10,12315
0,4,2,11,11,12279
0,4,2,12,12,12361
0,4,2,13,13,12249
0,4,2,14,14,12332
0,4,2,15,15,12244
0,4,2,16,0,12295
0,4,2,17,1,12308
0,4,2,18,2,12360
0,4,2,19,3,12273
0,4,2,20,4,12223
0,4,2,21,5,12310
0,4,2,22,6,12270
0,4,2,23,7,12289
0,4,2,24,8,12271
0,4,2,25,9,12319
0,4,2,26,10,12219
0,4,2,27,11,12299
0,4,2,28,12,12250
0,4,2,29,13,12326
0,4,2,30,14,12378
0,4,2,31,15,12342
0,4,3,0,0,12318
0,4,3,1,1,12381
0,4,3,2,2,12338
0,4,3,3,3,12432
0,4,3,4,4,12367
0,4,3,5,5,12373
0,4,3,6,6,12405
0,4,3,7,7,12387
0,4,3,8,8,12375
0,4,3,9,9,12386
0,4,3,10,10,12368
0,4,3,11,11,12469
0,4,3,12,12,12357
0,4,3,13,13,12375
0,4,3,14,14,12401
0,4,3,15,15,12368
0,4,3,16,0,12395
0,4,3,17,1,12499
0,4,3,18,2,12334
0,4,3,19,3,12386
0,4,3,20,4,12356
0,4,3,21,5,12361
0,4,3,22,6,12328
0,4,3,23,7,12349
0,4,3,24,8,12386
0,4,3,25,9,12361
0,4,3,26,10,12387
0,4,3,27,11,12294
0,4,3,28,12,12388
0,4,3,29,13,12369
0,4,3,30,14,12305
0,4,3,31,15,12414
0,5,0,0,0,12227
0,5,0,1,1,12331
0,5,0,2,2,12771
0,5,0,3,3,12380
0,5,0,4,4,12290
0,5,0,5,5,12203
0,5,0,6,6,12295
0,5,0,7,7,12359
0,5,0,8,8,12440
0,5,0,9,9,12322
0,5,0,10,10,12370
0,5,0,11,11,12432
0,5,0,12,12,12272
0,5,0,13,13,12445
0,5,0,14,14,12240
0,5,0,15,15,12317
0,5,0,16,0,12257
0,5,0,17,1,12296
0,5,0,18,2,12451
0,5,0,19,3,12432
0,5,0,20,4,12335
0,5,0,21,5,12317
0,5,0,22,6,12283
0,5,0,23,7,12377
0,5,0,24,8,12328
0,5,0,25,9,12333
0,5,0,26,10,12367
0,5,0,27,11,12396
0,5,0,28,12,12317
0,5,0,29,13,12264
0,5,0,30,14,12394
0,5,0,31,15,12367
0,5,1,0,0,12429
0,5,1,1,1,12317
0,5,1,2,2,12316
0,5,1,3,3,12376
0,5,1,4,4,12388
0,5,1,5,5,12388
0,5,1,6,6,12311
0,5,1,7,7,12338
0,5,1,8,8,12379
0,5,1,9,9,12339
0,5,1,10,10,12360
0,5,1,11,11,12406
0,5,1,12,12,12359
0,5,1,13,13,12369
0,5,1,14,14,12393
0,5,1,15,15,12388
0,5,1,16,0,12443
0,5,1,17,1,12403
0,5,1,18,2,12396
0,5,1,19,3,12326
0,5,1,20,4,12341
