family,cut,block,observation,cycles
cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 204 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1075 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
0,6,1,0,21594
0,6,1,1,21579
0,6,1,2,21563
0,6,1,3,21595
0,6,1,4,21289
0,6,1,5,21340
0,6,1,6,21478
0,6,1,7,21411
0,6,1,8,21536
0,6,1,9,21309
0,6,1,10,21365
0,6,1,11,21382
0,6,1,12,21247
0,6,1,13,21305
0,6,1,14,21374
0,6,1,15,21295
0,6,1,16,21519
0,6,1,17,21512
0,6,1,18,21388
0,6,1,19,21455
0,6,1,20,21263
0,6,1,21,21483
0,6,1,22,21589
0,6,1,23,21517
0,6,1,24,21429
0,6,1,25,21655
0,6,1,26,21585
0,6,1,27,21550
0,6,1,28,21423
0,6,1,29,21352
0,6,1,30,22526
0,6,1,31,21627
0,5,1,0,8907
0,5,1,1,8901
0,5,1,2,8927
0,5,1,3,8856
0,5,1,4,8881
0,5,1,5,9038
0,5,1,6,8951
0,5,1,7,8916
0,5,1,8,8887
0,5,1,9,8876
0,5,1,10,8933
0,5,1,11,8946
0,5,1,12,8898
0,5,1,13,8977
0,5,1,14,8915
0,5,1,15,8915
0,5,1,16,8918
0,5,1,17,8924
0,5,1,18,8940
0,5,1,19,8861
0,5,1,20,8897
0,5,1,21,8955
0,5,1,22,8902
0,5,1,23,8930
0,5,1,24,8942
0,5,1,25,8863
0,5,1,26,8860
0,5,1,27,8876
0,5,1,28,8899
0,5,1,29,8919
0,5,1,30,8978
0,5,1,31,8922
0,4,1,0,7871
0,4,1,1,7846
0,4,1,2,7852
0,4,1,3,7772
0,4,1,4,7924
0,4,1,5,7862
0,4,1,6,7878
0,4,1,7,7871
0,4,1,8,7919
0,4,1,9,8040
0,4,1,10,7945
0,4,1,11,7981
0,4,1,12,7888
0,4,1,13,7926
0,4,1,14,7931
0,4,1,15,7854
0,4,1,16,7845
0,4,1,17,7864
0,4,1,18,7921
0,4,1,19,7785
0,4,1,20,7905
0,4,1,21,8203
0,4,1,22,7989
0,4,1,23,7841
0,4,1,24,7910
0,4,1,25,7889
0,4,1,26,7942
0,4,1,27,7809
0,4,1,28,7938
0,4,1,29,7886
0,4,1,30,7959
0,4,1,31,7963
0,3,1,0,6992
0,3,1,1,7177
0,3,1,2,7180
0,3,1,3,7165
0,3,1,4,7172
0,3,1,5,7132
0,3,1,6,7195
0,3,1,7,7128
0,3,1,8,7179
0,3,1,9,7028
0,3,1,10,7132
0,3,1,11,6993
0,3,1,12,7154
0,3,1,13,7119
0,3,1,14,7124
0,3,1,15,7139
0,3,1,16,7135
0,3,1,17,7167
0,3,1,18,7136
0,3,1,19,7069
0,3,1,20,7194
0,3,1,21,7167
0,3,1,22,7229
0,3,1,23,7147
0,3,1,24,7196
0,3,1,25,7146
0,3,1,26,7132
0,3,1,27,7118
0,3,1,28,7110
0,3,1,29,7173
0,3,1,30,7126
0,3,1,31,7144
0,2,1,0,4566
0,2,1,1,4610
0,2,1,2,4595
0,2,1,3,4566
0,2,1,4,4567
